"year","fleet1_cpue","fleet2_cpue","fleet3_cpue","fleet4_cpue","fleet5_cpue","fleet6_cpue","fleet7_cpue","fleet8_cpue","catch_tonnes"
1956,NA,NA,NA,NA,NA,NA,NA,NA,21
1957,NA,NA,NA,NA,NA,NA,NA,NA,725
1958,NA,NA,NA,NA,NA,NA,NA,NA,1047
1959,NA,1.888,NA,NA,NA,NA,NA,NA,4715
1960,NA,1.78,NA,NA,NA,NA,NA,NA,10475
1961,NA,1.43,NA,NA,NA,NA,NA,NA,10765
1962,NA,1.025,NA,NA,NA,NA,NA,NA,18971
1963,NA,0.992,NA,NA,NA,NA,NA,NA,17385
1964,NA,0.996,NA,NA,NA,NA,NA,NA,25999
1965,NA,0.671,NA,NA,NA,NA,NA,NA,29845
1966,NA,0.61,NA,NA,NA,NA,NA,NA,27296
1967,2.078,0.648,NA,NA,NA,NA,NA,NA,15883
1968,2.135,0.598,NA,NA,NA,NA,NA,NA,25688
1969,2.275,0.362,2.199,NA,NA,NA,NA,NA,28493
1970,1.713,NA,1.057,NA,NA,NA,NA,NA,23653
1971,1.73,NA,1.673,NA,NA,NA,NA,NA,24885
1972,1.19,NA,0.897,NA,NA,NA,NA,NA,33189
1973,1.034,NA,0.603,NA,NA,NA,NA,NA,28234.1
1974,1.172,NA,0.357,NA,NA,NA,NA,NA,19716
1975,1.376,NA,0.213,1.04,NA,NA,NA,NA,17607
1976,1.442,NA,NA,1.22,NA,NA,NA,NA,19375
1977,1.579,NA,NA,0.781,NA,NA,NA,NA,21455
1978,1.406,NA,NA,1.421,NA,NA,NA,NA,23095
1979,1.305,NA,NA,0.58,NA,NA,NA,NA,22639.982
1980,1.197,NA,NA,0.852,NA,NA,NA,NA,22946
1981,0.956,NA,NA,1.761,NA,NA,NA,NA,24040
1982,0.953,NA,NA,1.396,NA,NA,NA,NA,29672
1983,0.934,NA,NA,1.105,NA,NA,NA,1.689,14918
1984,1.051,NA,NA,1.143,NA,NA,NA,1.459,14599
1985,0.993,NA,NA,1.902,NA,NA,NA,1.526,31097.3
1986,0.977,NA,NA,2.212,NA,NA,NA,1.509,37288
1987,0.872,NA,NA,0.906,NA,NA,NA,1.411,40630
1988,0.627,NA,NA,0.649,NA,NA,NA,1.467,30173
1989,0.558,NA,NA,0.808,NA,NA,NA,1.754,27211.6
1990,0.597,NA,NA,1.111,NA,NA,NA,1.148,28714.023
1991,0.671,NA,NA,1.286,NA,NA,NA,1.333,26015.848
1992,0.798,NA,NA,0.707,NA,NA,NA,0.884,36562.379
1993,0.683,NA,NA,0.608,NA,NA,NA,1.546,32813.064
1994,0.869,NA,NA,0.878,NA,NA,NA,0.69,35299.596
1995,0.867,NA,NA,0.563,NA,NA,NA,1.103,27552.497
1996,0.922,NA,NA,0.614,NA,NA,NA,1.511,28425.808
1997,0.872,NA,NA,0.813,NA,NA,NA,1.11,28021.629
1998,0.753,NA,NA,0.793,NA,NA,NA,1.532,30594.865
1999,0.631,NA,NA,0.834,NA,NA,NA,1.217,27656.29
2000,0.583,NA,NA,1.435,NA,NA,NA,0.97,31386.847
2001,0.706,NA,NA,1.477,NA,NA,NA,0.564,38795.804
2002,0.57,NA,NA,0.95,NA,NA,NA,0.455,31745.659
2003,0.534,NA,NA,0.996,NA,NA,NA,0.317,28002.067
2004,0.65,NA,NA,1.067,NA,NA,NA,0.229,22543.2688
2005,0.752,NA,NA,0.818,NA,NA,NA,0.145,18881.299
2006,0.574,NA,NA,0.438,NA,NA,NA,0.561,24452.612
2007,0.654,NA,NA,0.332,NA,NA,NA,0.706,20268.91201
2008,0.679,NA,NA,0.691,NA,NA,NA,0.531,18857.41505
2009,0.66,NA,NA,0.839,NA,NA,NA,0.671,22245.6537
2010,0.749,NA,NA,1.039,NA,NA,NA,0.589,19192.34137
2011,0.672,NA,NA,0.936,NA,NA,NA,0.371,24121.58873
