"year","catch","cpue1","cpue2"
1936,75,NA,NA
1937,75,NA,NA
1938,75,NA,NA
1939,75,NA,NA
1940,56,NA,NA
1941,50,NA,NA
1942,50,NA,NA
1943,50,NA,NA
1944,50,NA,NA
1945,50,NA,NA
1946,69,NA,NA
1947,75,NA,NA
1948,81,NA,NA
1949,95,NA,NA
1950,89,NA,NA
1951,74,NA,NA
1952,71,NA,NA
1953,70,NA,NA
1954,69,NA,NA
1955,66,NA,NA
1956,69,NA,NA
1957,69,NA,NA
1958,75,NA,NA
1959,68,NA,NA
1960,62,NA,NA
1961,60,NA,NA
1962,59,NA,NA
1963,59,NA,NA
1964,66,NA,NA
1965,64,NA,NA
1966,61,NA,NA
1967,65,NA,NA
1968,57,NA,NA
1969,55,NA,NA
1970,70,NA,NA
1971,69,NA,NA
1972,104,NA,NA
1973,105,NA,NA
1974,137,NA,NA
1975,298,NA,NA
1976,804,NA,NA
1977,1298,NA,NA
1978,81,NA,NA
1979,92,NA,NA
1980,98,NA,NA
1981,300,NA,NA
1982,511,NA,NA
1983,755,NA,NA
1984,1280,NA,NA
1985,1385,NA,NA
1986,1587,NA,NA
1987,1411,NA,NA
1988,1274,NA,NA
1989,1420,NA,NA
1990,1540,1.247441814,1.510256596
1991,1769,1.590947955,1.042574728
1992,1963,1.477727473,1.894356836
1993,2306,1.649550216,1.750991576
1994,2319,1.500194891,1.899914374
1995,2286,1.193148238,0.963911837
1996,2314,1.250706938,1.053177411
1997,2825,1.457456864,1.2284709
1998,2507,1.314037285,1.232794605
1999,2775,1.168289555,1.290068485
2000,2734,1.152326268,0.933782045
2001,2720,1.113044069,1.190904953
2002,2788,1.098104608,1.249063247
2003,3002,1.216502307,0.977561748
2004,3090,1.100227489,0.878536218
2005,3014,0.753376718,0.951121731
2006,2475,0.614730612,0.557849976
2007,2425,0.545121426,0.484998026
2008,2500,0.434553641,0.551232474
2009,2046,0.464832065,0.545266918
2010,2059,0.429294754,0.550689277
2011,2000,NA,NA
