"year","catch","cpue","cpue_se","survey_wcsi"
1965,78.3,NA,NA,NA
1966,120.1,NA,NA,NA
1967,175.2,NA,NA,NA
1968,153.5,NA,NA,NA
1969,117,NA,NA,NA
1970,162.8,NA,NA,NA
1971,169,NA,NA,NA
1972,119.4,NA,NA,NA
1973,165.9,NA,NA,NA
1974,159.3,NA,NA,NA
1975,195.3,NA,NA,NA
1976,382.1,NA,NA,NA
1977,570.4,NA,NA,NA
1978,494.5,NA,NA,NA
1979,383.6,NA,NA,NA
1980,329.4,NA,NA,NA
1981,299.9,NA,NA,NA
1982,419.3,NA,NA,NA
1983,550.3,NA,NA,NA
1984,427,NA,NA,NA
1985,310,NA,NA,NA
1986,566.1,NA,NA,NA
1987,180.2,NA,NA,NA
1988,203.4,NA,NA,NA
1989,189,NA,NA,NA
1990,215.9,2.046,0.1401,NA
1991,220.2,1.6995,0.111,NA
1992,231.5,1.459,0.1029,287.51
1993,290.1,1.5733,0.0977,NA
1994,280.1,1.3378,0.0852,380.31
1995,305,1.0497,0.083,489.72
1996,357.3,1.1717,0.1086,NA
1997,353.5,1.2339,0.1125,307.94
1998,283.2,1.0825,0.0997,NA
1999,300.2,0.8218,0.1227,NA
2000,295.2,0.7364,0.1166,332.61
2001,338.3,0.847,0.0914,NA
2002,281.1,0.7092,0.1024,NA
2003,263.7,0.6294,0.1021,143.99
2004,293.4,0.6535,0.1019,NA
2005,265.9,0.6142,0.1091,153.2
2006,288,0.6968,0.1194,NA
2007,265,0.7529,0.1429,383
2008,231,0.7659,0.1456,NA
2009,233,0.8654,0.1355,272
2010,229,1.3134,0.1338,NA
2011,229,1.1648,0.1333,307
2012,227,1.1669,0.135,NA
2013,NA,NA,NA,277.7
